,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
50550,2020,ALABAMA,AL,CHAMBERS,1017.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,8753,15284,20220315,TOTAL
50551,2020,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1624,12301,20220315,TOTAL
50552,2020,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,OTHER,OTHER,94,12301,20220315,TOTAL
50553,2020,ALABAMA,AL,CHEROKEE,1019.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,10583,12301,20220315,TOTAL
50554,2020,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3073,19310,20220315,TOTAL
50555,2020,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,OTHER,OTHER,152,19310,20220315,TOTAL
50556,2020,ALABAMA,AL,CHILTON,1021.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16085,19310,20220315,TOTAL
50557,2020,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3127,7464,20220315,TOTAL
50558,2020,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,OTHER,OTHER,41,7464,20220315,TOTAL
50559,2020,ALABAMA,AL,CHOCTAW,1023.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4296,7464,20220315,TOTAL
50560,2020,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5755,13135,20220315,TOTAL
50561,2020,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,OTHER,OTHER,56,13135,20220315,TOTAL
50562,2020,ALABAMA,AL,CLARKE,1025.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7324,13135,20220315,TOTAL
50563,2020,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1267,6930,20220315,TOTAL
50564,2020,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,OTHER,OTHER,62,6930,20220315,TOTAL
50565,2020,ALABAMA,AL,CLAY,1027.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5601,6930,20220315,TOTAL
50566,2020,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,675,7227,20220315,TOTAL
50567,2020,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,OTHER,OTHER,68,7227,20220315,TOTAL
50568,2020,ALABAMA,AL,CLEBURNE,1029.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6484,7227,20220315,TOTAL
50569,2020,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5076,22275,20220315,TOTAL
50570,2020,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,OTHER,OTHER,300,22275,20220315,TOTAL
50571,2020,ALABAMA,AL,COFFEE,1031.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16899,22275,20220315,TOTAL
50572,2020,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8343,27886,20220315,TOTAL
50573,2020,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,OTHER,OTHER,340,27886,20220315,TOTAL
50574,2020,ALABAMA,AL,COLBERT,1033.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,19203,27886,20220315,TOTAL
50575,2020,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2966,6441,20220315,TOTAL
50576,2020,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,OTHER,OTHER,33,6441,20220315,TOTAL
50577,2020,ALABAMA,AL,CONECUH,1035.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3442,6441,20220315,TOTAL
50578,2020,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1796,5479,20220315,TOTAL
50579,2020,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,OTHER,OTHER,52,5479,20220315,TOTAL
50580,2020,ALABAMA,AL,COOSA,1037.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3631,5479,20220315,TOTAL
50581,2020,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2721,17430,20220315,TOTAL
50582,2020,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,OTHER,OTHER,123,17430,20220315,TOTAL
50583,2020,ALABAMA,AL,COVINGTON,1039.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,14586,17430,20220315,TOTAL
50584,2020,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1700,6617,20220315,TOTAL
50585,2020,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,OTHER,OTHER,53,6617,20220315,TOTAL
50586,2020,ALABAMA,AL,CRENSHAW,1041.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,4864,6617,20220315,TOTAL
50587,2020,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4478,41851,20220315,TOTAL
50588,2020,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,OTHER,OTHER,493,41851,20220315,TOTAL
50589,2020,ALABAMA,AL,CULLMAN,1043.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,36880,41851,20220315,TOTAL
50590,2020,ALABAMA,AL,DALE,1045.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5170,19738,20220315,TOTAL
50591,2020,ALABAMA,AL,DALE,1045.0,US PRESIDENT,OTHER,OTHER,265,19738,20220315,TOTAL
50592,2020,ALABAMA,AL,DALE,1045.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,14303,19738,20220315,TOTAL
50593,2020,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12230,17864,20220315,TOTAL
50594,2020,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,OTHER,OTHER,110,17864,20220315,TOTAL
50595,2020,ALABAMA,AL,DALLAS,1047.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5524,17864,20220315,TOTAL
50596,2020,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4281,29356,20220315,TOTAL
50597,2020,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,OTHER,OTHER,308,29356,20220315,TOTAL
50598,2020,ALABAMA,AL,DEKALB,1049.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,24767,29356,20220315,TOTAL
50599,2020,ALABAMA,AL,ELMORE,1051.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,10367,41030,20220315,TOTAL
50600,2020,ALABAMA,AL,ELMORE,1051.0,US PRESIDENT,OTHER,OTHER,499,41030,20220315,TOTAL
50601,2020,ALABAMA,AL,ELMORE,1051.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,30164,41030,20220315,TOTAL
50602,2020,ALABAMA,AL,ESCAMBIA,1053.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4918,15910,20220315,TOTAL
50603,2020,ALABAMA,AL,ESCAMBIA,1053.0,US PRESIDENT,OTHER,OTHER,123,15910,20220315,TOTAL
50604,2020,ALABAMA,AL,ESCAMBIA,1053.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,10869,15910,20220315,TOTAL
50605,2020,ALABAMA,AL,ETOWAH,1055.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11567,47728,20220315,TOTAL
50606,2020,ALABAMA,AL,ETOWAH,1055.0,US PRESIDENT,OTHER,OTHER,633,47728,20220315,TOTAL
50607,2020,ALABAMA,AL,ETOWAH,1055.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,35528,47728,20220315,TOTAL
50608,2020,ALABAMA,AL,FAYETTE,1057.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1395,8766,20220315,TOTAL
50609,2020,ALABAMA,AL,FAYETTE,1057.0,US PRESIDENT,OTHER,OTHER,71,8766,20220315,TOTAL
50610,2020,ALABAMA,AL,FAYETTE,1057.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,7300,8766,20220315,TOTAL
50611,2020,ALABAMA,AL,FRANKLIN,1059.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2086,12578,20220315,TOTAL
50612,2020,ALABAMA,AL,FRANKLIN,1059.0,US PRESIDENT,OTHER,OTHER,116,12578,20220315,TOTAL
50613,2020,ALABAMA,AL,FRANKLIN,1059.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,10376,12578,20220315,TOTAL
50614,2020,ALABAMA,AL,GENEVA,1061.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1595,12545,20220315,TOTAL
50615,2020,ALABAMA,AL,GENEVA,1061.0,US PRESIDENT,OTHER,OTHER,102,12545,20220315,TOTAL
50616,2020,ALABAMA,AL,GENEVA,1061.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,10848,12545,20220315,TOTAL
50617,2020,ALABAMA,AL,GREENE,1063.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3884,4775,20220315,TOTAL
50618,2020,ALABAMA,AL,GREENE,1063.0,US PRESIDENT,OTHER,OTHER,16,4775,20220315,TOTAL
50619,2020,ALABAMA,AL,GREENE,1063.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,875,4775,20220315,TOTAL
50620,2020,ALABAMA,AL,HALE,1065.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4663,7900,20220315,TOTAL
50621,2020,ALABAMA,AL,HALE,1065.0,US PRESIDENT,OTHER,OTHER,45,7900,20220315,TOTAL
50622,2020,ALABAMA,AL,HALE,1065.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3192,7900,20220315,TOTAL
50623,2020,ALABAMA,AL,HENRY,1067.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2606,9298,20220315,TOTAL
50624,2020,ALABAMA,AL,HENRY,1067.0,US PRESIDENT,OTHER,OTHER,85,9298,20220315,TOTAL
50625,2020,ALABAMA,AL,HENRY,1067.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6607,9298,20220315,TOTAL
50626,2020,ALABAMA,AL,HOUSTON,1069.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,12917,46173,20220315,TOTAL
50627,2020,ALABAMA,AL,HOUSTON,1069.0,US PRESIDENT,OTHER,OTHER,638,46173,20220315,TOTAL
50628,2020,ALABAMA,AL,HOUSTON,1069.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,32618,46173,20220315,TOTAL
50629,2020,ALABAMA,AL,JACKSON,1071.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3717,23636,20220315,TOTAL
50630,2020,ALABAMA,AL,JACKSON,1071.0,US PRESIDENT,OTHER,OTHER,249,23636,20220315,TOTAL
50631,2020,ALABAMA,AL,JACKSON,1071.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,19670,23636,20220315,TOTAL
50632,2020,ALABAMA,AL,JEFFERSON,1073.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,181688,325848,20220315,TOTAL
50633,2020,ALABAMA,AL,JEFFERSON,1073.0,US PRESIDENT,OTHER,OTHER,5317,325848,20220315,TOTAL
50634,2020,ALABAMA,AL,JEFFERSON,1073.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,138843,325848,20220315,TOTAL
50635,2020,ALABAMA,AL,LAMAR,1075.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,978,7193,20220315,TOTAL
50636,2020,ALABAMA,AL,LAMAR,1075.0,US PRESIDENT,OTHER,OTHER,41,7193,20220315,TOTAL
50637,2020,ALABAMA,AL,LAMAR,1075.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6174,7193,20220315,TOTAL
50638,2020,ALABAMA,AL,LAUDERDALE,1077.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11915,44339,20220315,TOTAL
50639,2020,ALABAMA,AL,LAUDERDALE,1077.0,US PRESIDENT,OTHER,OTHER,703,44339,20220315,TOTAL
50640,2020,ALABAMA,AL,LAUDERDALE,1077.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,31721,44339,20220315,TOTAL
50641,2020,ALABAMA,AL,LAWRENCE,1079.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3562,16031,20220315,TOTAL
50642,2020,ALABAMA,AL,LAWRENCE,1079.0,US PRESIDENT,OTHER,OTHER,147,16031,20220315,TOTAL
50643,2020,ALABAMA,AL,LAWRENCE,1079.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,12322,16031,20220315,TOTAL
50644,2020,ALABAMA,AL,LEE,1081.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,27860,71449,20220315,TOTAL
50645,2020,ALABAMA,AL,LEE,1081.0,US PRESIDENT,OTHER,OTHER,1368,71449,20220315,TOTAL
50646,2020,ALABAMA,AL,LEE,1081.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,42221,71449,20220315,TOTAL
50647,2020,ALABAMA,AL,LIMESTONE,1083.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13672,49235,20220315,TOTAL
50648,2020,ALABAMA,AL,LIMESTONE,1083.0,US PRESIDENT,OTHER,OTHER,923,49235,20220315,TOTAL
50649,2020,ALABAMA,AL,LIMESTONE,1083.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,34640,49235,20220315,TOTAL
50650,2020,ALABAMA,AL,LOWNDES,1085.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4972,6835,20220315,TOTAL
50651,2020,ALABAMA,AL,LOWNDES,1085.0,US PRESIDENT,OTHER,OTHER,27,6835,20220315,TOTAL
50652,2020,ALABAMA,AL,LOWNDES,1085.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1836,6835,20220315,TOTAL
50653,2020,ALABAMA,AL,MACON,1087.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7108,8723,20220315,TOTAL
50654,2020,ALABAMA,AL,MACON,1087.0,US PRESIDENT,OTHER,OTHER,74,8723,20220315,TOTAL
50655,2020,ALABAMA,AL,MACON,1087.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1541,8723,20220315,TOTAL
50656,2020,ALABAMA,AL,MADISON,1089.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,87286,194767,20220315,TOTAL
50657,2020,ALABAMA,AL,MADISON,1089.0,US PRESIDENT,OTHER,OTHER,4701,194767,20220315,TOTAL
50658,2020,ALABAMA,AL,MADISON,1089.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,102780,194767,20220315,TOTAL
50659,2020,ALABAMA,AL,MARENGO,1091.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5488,10900,20220315,TOTAL
50660,2020,ALABAMA,AL,MARENGO,1091.0,US PRESIDENT,OTHER,OTHER,69,10900,20220315,TOTAL
50661,2020,ALABAMA,AL,MARENGO,1091.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5343,10900,20220315,TOTAL
50662,2020,ALABAMA,AL,MARION,1093.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1463,13807,20220315,TOTAL
50663,2020,ALABAMA,AL,MARION,1093.0,US PRESIDENT,OTHER,OTHER,139,13807,20220315,TOTAL
50664,2020,ALABAMA,AL,MARION,1093.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,12205,13807,20220315,TOTAL
50665,2020,ALABAMA,AL,MARSHALL,1095.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5943,39655,20220315,TOTAL
50666,2020,ALABAMA,AL,MARSHALL,1095.0,US PRESIDENT,OTHER,OTHER,521,39655,20220315,TOTAL
50667,2020,ALABAMA,AL,MARSHALL,1095.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,33191,39655,20220315,TOTAL
50668,2020,ALABAMA,AL,MOBILE,1097.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,79474,183164,20220315,TOTAL
50669,2020,ALABAMA,AL,MOBILE,1097.0,US PRESIDENT,OTHER,OTHER,2447,183164,20220315,TOTAL
50670,2020,ALABAMA,AL,MOBILE,1097.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,101243,183164,20220315,TOTAL
50671,2020,ALABAMA,AL,MONROE,1099.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4455,10668,20220315,TOTAL
50672,2020,ALABAMA,AL,MONROE,1099.0,US PRESIDENT,OTHER,OTHER,66,10668,20220315,TOTAL
50673,2020,ALABAMA,AL,MONROE,1099.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6147,10668,20220315,TOTAL
50674,2020,ALABAMA,AL,MONTGOMERY,1101.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,64529,99139,20220315,TOTAL
50675,2020,ALABAMA,AL,MONTGOMERY,1101.0,US PRESIDENT,OTHER,OTHER,1299,99139,20220315,TOTAL
50676,2020,ALABAMA,AL,MONTGOMERY,1101.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,33311,99139,20220315,TOTAL
50677,2020,ALABAMA,AL,MORGAN,1103.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13234,53722,20220315,TOTAL
50678,2020,ALABAMA,AL,MORGAN,1103.0,US PRESIDENT,OTHER,OTHER,824,53722,20220315,TOTAL
50679,2020,ALABAMA,AL,MORGAN,1103.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,39664,53722,20220315,TOTAL
50680,2020,ALABAMA,AL,PERRY,1105.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3860,5230,20220315,TOTAL
50681,2020,ALABAMA,AL,PERRY,1105.0,US PRESIDENT,OTHER,OTHER,31,5230,20220315,TOTAL
50682,2020,ALABAMA,AL,PERRY,1105.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1339,5230,20220315,TOTAL
50683,2020,ALABAMA,AL,PICKENS,1107.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4022,9668,20220315,TOTAL
50684,2020,ALABAMA,AL,PICKENS,1107.0,US PRESIDENT,OTHER,OTHER,52,9668,20220315,TOTAL
50685,2020,ALABAMA,AL,PICKENS,1107.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5594,9668,20220315,TOTAL
50686,2020,ALABAMA,AL,PIKE,1109.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5636,13841,20220315,TOTAL
50687,2020,ALABAMA,AL,PIKE,1109.0,US PRESIDENT,OTHER,OTHER,163,13841,20220315,TOTAL
50688,2020,ALABAMA,AL,PIKE,1109.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,8042,13841,20220315,TOTAL
50689,2020,ALABAMA,AL,RANDOLPH,1111.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2203,10837,20220315,TOTAL
50690,2020,ALABAMA,AL,RANDOLPH,1111.0,US PRESIDENT,OTHER,OTHER,75,10837,20220315,TOTAL
50691,2020,ALABAMA,AL,RANDOLPH,1111.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,8559,10837,20220315,TOTAL
50692,2020,ALABAMA,AL,RUSSELL,1113.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11228,21329,20220315,TOTAL
50693,2020,ALABAMA,AL,RUSSELL,1113.0,US PRESIDENT,OTHER,OTHER,237,21329,20220315,TOTAL
50694,2020,ALABAMA,AL,RUSSELL,1113.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,9864,21329,20220315,TOTAL
50695,2020,ALABAMA,AL,ST. CLAIR,1115.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7744,44441,20220315,TOTAL
50696,2020,ALABAMA,AL,ST. CLAIR,1115.0,US PRESIDENT,OTHER,OTHER,531,44441,20220315,TOTAL
50697,2020,ALABAMA,AL,ST. CLAIR,1115.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,36166,44441,20220315,TOTAL
50698,2020,ALABAMA,AL,SHELBY,1117.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,33268,114950,20220315,TOTAL
50699,2020,ALABAMA,AL,SHELBY,1117.0,US PRESIDENT,OTHER,OTHER,1982,114950,20220315,TOTAL
50700,2020,ALABAMA,AL,SHELBY,1117.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,79700,114950,20220315,TOTAL
50701,2020,ALABAMA,AL,SUMTER,1119.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4648,6291,20220315,TOTAL
50702,2020,ALABAMA,AL,SUMTER,1119.0,US PRESIDENT,OTHER,OTHER,45,6291,20220315,TOTAL
50703,2020,ALABAMA,AL,SUMTER,1119.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1598,6291,20220315,TOTAL
50704,2020,ALABAMA,AL,TALLADEGA,1121.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13138,35663,20220315,TOTAL
50705,2020,ALABAMA,AL,TALLADEGA,1121.0,US PRESIDENT,OTHER,OTHER,290,35663,20220315,TOTAL
50706,2020,ALABAMA,AL,TALLADEGA,1121.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,22235,35663,20220315,TOTAL
50707,2020,ALABAMA,AL,TALLAPOOSA,1123.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5859,20991,20220315,TOTAL
50708,2020,ALABAMA,AL,TALLAPOOSA,1123.0,US PRESIDENT,OTHER,OTHER,169,20991,20220315,TOTAL
50709,2020,ALABAMA,AL,TALLAPOOSA,1123.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,14963,20991,20220315,TOTAL
50710,2020,ALABAMA,AL,TUSCALOOSA,1125.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,37765,90172,20220315,TOTAL
50711,2020,ALABAMA,AL,TUSCALOOSA,1125.0,US PRESIDENT,OTHER,OTHER,1290,90172,20220315,TOTAL
50712,2020,ALABAMA,AL,TUSCALOOSA,1125.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,51117,90172,20220315,TOTAL
50713,2020,ALABAMA,AL,WALKER,1127.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4834,31170,20220315,TOTAL
50714,2020,ALABAMA,AL,WALKER,1127.0,US PRESIDENT,OTHER,OTHER,334,31170,20220315,TOTAL
50715,2020,ALABAMA,AL,WALKER,1127.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,26002,31170,20220315,TOTAL
50716,2020,ALABAMA,AL,WASHINGTON,1129.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2258,8876,20220315,TOTAL
50717,2020,ALABAMA,AL,WASHINGTON,1129.0,US PRESIDENT,OTHER,OTHER,54,8876,20220315,TOTAL
50718,2020,ALABAMA,AL,WASHINGTON,1129.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,6564,8876,20220315,TOTAL
50719,2020,ALABAMA,AL,WILCOX,1131.0,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4048,5903,20220315,TOTAL
50720,2020,ALABAMA,AL,WILCOX,1131.0,US PRESIDENT,OTHER,OTHER,22,5903,20220315,TOTAL
