facility ID,facility name,,telehealth clinic only,full address,street address,city,state,zip code,latitude,longitude,phone number,website,open in 2021,provided abortions in 2021,provided MAB in 2021,MAB gestational limit in 2021,median state cost for medication abortion in 2021,provided procedural abortion in 2021,procedural abortion gestational limit in 2021,median state cost for first trimester procedural abortion in 2021,median state cost for second trimester procedural abortion in 2021,date facility opened,facility closure date/info,date of last facility update
14,A Woman's Care,,,"68 N. East 167th Street, North Miami, FL 33162",68 N. East 167th Street,North Miami,FL,33162,25.928,-80.1992,(305) 947-0885,https://awomanscarecenter.com/,yes,yes,Yes,9,543,Yes,22,550,650,2017,,12/23/21
15,A Woman's Center of Hollywood,,,"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021","3829 Hollywood Blvd., Suite C",Hollywood,FL,33021,26.0114,-80.1827,(954) 964-9528,https://awomanscenterofhollywood.com/,yes,yes,Yes,8,543,Yes,22,550,650,,,12/23/21
16,A Woman's Choice,,,"18400 NW 75th Place #118, Hialeah, FL 33015",18400 NW 75th Place #118,Hialeah,FL,33015,25.9402,-80.3235,(305) 558-4440,http://www.awomanschoicemiamilakes.com/,yes,yes,Yes,9,543,Yes,22,550,650,2017,,12/23/21
17,A Woman's Choice of Charlotte,,,"421 North Wendover Road, Charlotte, NC 28211",421 North Wendover Road,Charlotte,NC,28211,35.1886,-80.806,(704) 367-2255,https://www.awomanschoiceinc.com/awc-charlotte,yes,yes,Yes,11,425,Yes,20,425,465,,,12/29/21
18,"A Woman's Choice of Jacksonville, Inc.",,,"4131 University Blvd S., Building #2, Jacksonville, FL 32216","4131 University Blvd S., Building #2",Jacksonville,FL,32216,30.2817,-81.6026,(904) 299-8646 or (904) 733-1178,https://www.awomanschoiceinc.com/awc-jacksonville,yes,yes,Yes,10,543,Yes,20,550,650,,,12/23/21
19,A Woman's Healthcare Specialists,,,"3400 East Bayaud Avenue Suite 400, Denver, CO 80209",3400 East Bayaud Avenue Suite 400,Denver,CO,80209,39.7146,-104.947,(303) 321-2044,http://denver.cylex-usa.com/company/a-womans-healthcare-specialist-5359531.html,no,no,,,458,,,747,2100,,,7/14/21
20,Gynecology and More,,,"1933 West 60th Street, Hialeah, FL 33012",1933 West 60th Street,Hialeah,FL,33012,25.8771,-80.3216,(305) 824-1788,none,yes,yes,Yes,10,543,Yes,22,550,650,,,12/23/21
21,A Woman's World Medical Center,,,"503 South 12th Street, Ft. Pierce, FL 34950",503 South 12th Street,Ft. Pierce,FL,34950,27.4433,-80.3351,(772) 460-1506,http://www.awwmc.com/,yes,yes,Yes,9,543,Yes,17,550,650,,,12/23/21
22,A Women's Choice / Coast Family Planning Center,,,"2010 Wilshire Blvd #904, Los Angeles, CA 90057",2010 Wilshire Blvd #904,Los Angeles,CA,90057,34.0574,-118.275,,,no,no,,,700,,,750,926,,,
23,A Woman's Choice of Greensboro,,,"2425 Randleman Road, Greensboro, NC 27406",2425 Randleman Road,Greensboro,NC,27406,36.0366,-79.8001,(336) 273-9485,https://www.awomanschoiceinc.com/awc-greensboro,yes,yes,Yes,11,425,Yes,20,425,465,,,12/29/21
24,A Woman's Choice of Raleigh,,,"3305 Drake Circle, Raleigh, NC, 27607",3305 Drake Circle,Raleigh,NC,27607,35.8149,-78.6936,(919) 781-6811,https://www.awomanschoiceinc.com/awc-raleigh,yes,yes,Yes,11,425,Yes,20,425,465,,,12/29/21
25,A Women's Medical Center for Family Planning,,,"1125 E 17th St, Suite East-108, Santa Ana, CA 92701","1125 E 17th St, Suite East-108",Santa Ana,CA,92701,33.7601,-117.855,(714) 547-9495,http://familyplanningmedcenter.com/,no,no,Yes,8,700,Yes,24,750,926,,,9/13/2021 (phone)
26,A-All Women Care Abortion Clinic,,,"7908 W. Sahara Ave., Las Vegas, NV 89117",7908 W. Sahara Ave.,Las Vegas,NV,89117,36.1439,-115.264,(702) 531-5400,http://www.lvgyn.com,yes,yes,Yes,9,600,Yes,14.3,860,,,,10/01/2021 (phone)
27,A-Z Women's Center,,,"1670 East Flamingo Road, Suite C, Las Vegas, NV 89119","1670 East Flamingo Road, Suite C",Las Vegas,NV,89119,36.1147,-115.131,(702) 892-0660,https://www.drramoslasvegas.com/,yes,yes,Yes,11,600,Yes,23.6,860,,,,10/01/2021 (phone)
28,AAA Concerned Women's Center,,,"7324 Southwest Freeway @ Fondren, Suite 978, Houston, TX 77074","7324 Southwest Freeway @ Fondren, Suite 978",Houston,TX,77074,29.7013,-95.5173,(713) 988-2200,http://www.aaaconcernedwomenscenter.com/,no,no,,,650,,,715,850,,2014,12/29/21
29,ASAP Confidential Care,,,"22110 Roscoe Blvd, Suite 200, Canoga Park, CA 91304","22110 Roscoe Blvd, Suite 200",Canoga Park,CA,91304,34.2196,-118.608,(818) 346-5181,http://www.yellowpages.com/canoga-park-ca/mip/asap-confidential-care-458620309?lid=1000171098555,no,no,,,700,,,750,926,,,
30,Aaron Women's Center,,,"2505 N. Shepherd Dr. St. 201, Houston, TX 77008",2505 N. Shepherd Dr. St 201,Houston,TX,77008,29.8091,-95.4103,(713) 272-6900,https://www.aaronclinichouston.com/,yes,yes,Yes,5.6,650,Yes,5.6,715,850,,,12/29/21
31,Aastra Women's Center,,,"10 Southwest 44th Avenue, Plantation, FL 33317",10 Southwest 44th Avenue,Plantation,FL,33317,26.1206,-80.2065,(954) 792-9198,http://www.aastrawomenscenter.com/,yes,yes,Yes,9,543,Yes,11.6,550,650,,,12/23/21
34,Abortion Advantage,,,"1929 Record Crossing Rd, Dallas, TX 75235",1929 Record Crossing Rd,Dallas,TX,75235,32.8176,-96.8499,(214) 630-3333,http://www.abortionadvantage.com/,no,no,,,650,,,715,850,,2014,12/29/21
35,Abortion Advantage San Antonio Surgical Center,,,,,San Antonio,TX,,,,(214) 630-3333,http://www.abortionadvantage.com/,no,no,,,650,,,715,850,,2014,12/29/21
36,Abortion Care (GYN Choices of Central Jersey),,,"516 Easton Ave, Somerset, NJ 08873","281 Summerhill Road, Suite 101",East Brunswick,NJ,8816,40.4188,-74.3888,(732) 408-6182,http://www.gynchoicesofcentraljersey.com/,yes,yes,Yes,10,490,Yes,12,400,700,,,9/16/21
37,Abortion Counseling & Care,,,"7601 Canby Ave., #5, Reseda, CA 91335","7601 Canby Ave., #5",Reseda,CA,91335,34.2084,-118.535,(818) 343-1473,http://www.jennyjerrome.org/pg_cty_ca_reseda.html,no,no,,,700,,,750,926,,,
38,Abortion Pill NYC,,,"800 2nd Avenue, 6th Floor, New York, NY 10017","800 2nd Ave, 6th Floor",New York,NY,10017,40.7502,-73.9718,(646) 898-2122,https://abortionpillnyc.com/en/,yes,yes,Yes,8,580,Yes,26,580,600,,,12/27/21
39,Abortion Service of Fort Lee,,,"2231 Lemoine Ave, Fort Lee, NJ 07024",2231 Lemoine Ave,Fort Lee,NJ,7024,40.8581,-73.966,(201) 944-1008,http://www.abortionservicesnj.com,no,no,,,490,,,400,700,,,9/16/21
40,Abortion Services of Phoenix,,,"3549 E. Cambridge Ave, Phoenix, AZ 85006",3549 E. Cambridge Ave,Phoenix,AZ,85006,33.4776,-112.005,(602) 468-3847,,no,no,,,540,,,701,1568,,,7/12/2021 (web only)
41,Abortion Surgery Center,,,"2453 Wilcox Drive, Norman, OK 73069",2453 Wilcox Drive,Norman,OK,73069,35.206,-97.4786,(405) 329-8120,http://www.abortionsurgerycenter.com/,yes,no,Yes,6,638,Yes,12,688,750,,,12/23/21
42,Abortion Women's Medical,,,"3713 85th St. Fl 1, Flushing, NY 11372",3713 85th St. Fl 1,Flushing,NY,11372,40.7497,-73.8814,(718) 672-4844,http://www.abortion.to/pg_cty_ny_flushing.html,no,no,,,580,,,580,600,,2015,12/27/21
43,Clinic for Abortion and Reproductive Excellence (CARE) of Bethesda,,,"10401 Old Georgetown Road, Suite 104, Bethesda, MD 20814","10401 Old Georgetown Road, Suite 104",Bethesda,MD,20814,39.0258,-77.1257,(301) 517-6810,https://abortionclinics.org/clinics/bethesda-maryland.html,yes,yes,Yes,11,390,Yes,27.6,431,922,,,12/29/21
44,About Women By Women,,,"30 Washington Street, Wellesley, MA 02481",30 Washington Street,Wellesley,MA,2481,42.3248,-71.2608,(781) 263-0033,http://www.aboutwomenbywomen.net/,yes,no,,,650,,,700,725,,,12/27/21
45,Acacia Women's Center,,,"1615 East Osborn Road, Phoenix, AZ 85016",1615 East Osborn Road,Phoenix,AZ,85016,33.4874,-112.047,(602) 462-5559,https://abortionclinicsarizona.com/,yes,yes,Yes,8,540,Yes,11,701,1568,,,9/13/2021 (phone)
46,Advanced Gyn Clinic,,,"6464 N Miami Ave, Miami, FL 33150",6464 N Miami Ave,Miami,FL,33150,25.8351,-80.1964,(305) 621-1399,http://www.yellowpages.com/miami-fl/mip/advanced-gyn-clinic-23151798,no,no,,,543,,,550,650,,2015,7/26/2021 (web only)
47,Advanced Woman's Care Center,,,"2742 S.W. 8th Street Suite #20, Miami, FL 33135",2742 S.W. 8th Street Suite #20,Miami,FL,33135,25.7651,-80.2396,(786) 217-2596,https://www.advancedwomanscare.com/,yes,yes,Yes,8,543,Yes,23,550,650,,,12/23/21
48,Affiliated Medical Services,,,"1428 N. Farwell Avenue, Milwaukee, WI 53202",1428 N. Farwell Avenue,Milwaukee,WI,53202,43.0485,-87.8963,(414) 278-0424,http://www.affiliatedmedicalservices.com/,yes,yes,Yes,10.6,600,Yes,21.6,738,,,,12/16/21 (phone)
49,Affiliated Women's Services,,,"2215 Distributors Drive, Indianapolis, IN 46242",2215 Distributors Drive,Indianapolis,IN,46242,39.7353,-86.2589,(317) 241-0215,,no,no,,,834,,,913,,,2014,7/19/2021 (web only)
50,Aid For Women,,,"720 Simpson Ave, Kansas City, KS 66101",720 Simpson Ave,Kansas City,KS,66101,39.1028,-94.6273,(913) 321-3350,,no,no,,,735,,,735,815,,2014,7/19/2021 (web only)
51,Akron Women's Medical Group,,,"692 East Market Street, Akron, OH 44304",692 East Market Street,Akron,OH,44304,41.0765,-81.4961,(330) 535-9191,http://www.awmg.info/home/,no,no,,,650,,,650,1100,,2017,12/30/21
52,Alabama Women’s Center,,,"1011 Monticello Court, Montgomery, AL 36117",4831 Sparkman Drive NW,Huntsville,AL,35810,34.758,-86.6367,(256) 536-2231,http://www.alabamawomensclinic.com/,yes,yes,Yes,9,600,Yes,21,700,800,,,9/2/2021 (phone)
53,Alamo Women's Reproductive Services,,,"7402 John Smith Dr, #101, San Antonio, TX 78229","7402 John Smith Dr, #101",San Antonio,TX,78229,29.5065,-98.5859,(210) 614-4742,http://www.alamowomensclinic.com/,yes,yes,Yes,5.6,650,Yes,5.6,715,850,,,12/29/21
54,Alba Medical Center,,,"4210 Palm Ave, Hialeah, FL 33012",4210 Palm Ave,Hialeah,FL,33012,25.8605,-80.2829,(305) 827-3412,http://www.yellowpages.com/hialeah-fl/mip/alba-medical-center-11676903,no,no,,,543,,,550,650,,2014,7/26/2021 (web only)
58,Alexandria Women's Health Clinic,,,"5999 Stevenson Ave. Suite 403, Alexandria, VA 22304",5999 Stevenson Ave. Suite 403,Alexandria,VA,22304,38.813,-77.1368,(703) 370-0550,http://www.alexandriawomensclinic.com/,yes,yes,Yes,8,433,Yes,13,450,850,,,8/1/19
59,Alfa Primary Care Medical Associates,,,"405 N Broadway, Santa Ana, CA 92701",405 N Broadway,Santa Ana,CA,92701,33.7481,-117.87,(714) 541-5844,http://www.yellowpages.com/santa-ana-ca/mip/alfa-primary-care-medical-associates-4445349?lid=4445349,no,no,,,700,,,750,926,,,
61,All Families Healthcare,,,"737 Spokane Avenue, Whitefish, MT 59937",737 Spokane Avenue,Whitefish,MT,59937,48.4048,-114.335,(406) 730-8682,https://www.allfamilieshealth.org/,yes,yes,Yes,12,555,Yes,12,795,,2018,,12/27/21
62,All Valley Women's Care: Aspen,,,"401 Castle Creek Road, Aspen, CO 81611","0401 Castle Creek Road, Suite 2400B",Aspen,CO,81611,39.19,-106.838,(970) 925-9480,https://allvalleywomen.com/services,yes,yes,Yes,7,458,No,,747,2100,,,10/04/2021 (phone)
63,All Valley Women's Care: Basalt,,,"1450 E Valley Rd, Basalt, CO 81621","1450 E Valley Rd, Suite 105",Basalt,CO,81621,39.3757,-107.077,(970) 927-1717,https://allvalleywomen.com/services,yes,yes,Yes,7,458,No,,747,2100,,,10/04/2021 (phone)
64,All Women's Care,,,"9730 3rd Ave NE, Suite 200, Seattle, WA 98115","9730 3rd Ave NE, Suite 200",Seattle,WA,98115,47.7,-122.326,(206) 985-9553,http://www.awcseattle.com,yes,yes,Yes,11,650,Yes,26,650,,,,10/01/2021 (phone)
65,All Women's Care_ny,,,"444 Community Drive, LL 3, Manhasset, NY 11030","444 Community Drive, LL 3",Manhasset,NY,11030,40.7742,-73.7031,(516) 365-1600,http://www.allwomenscare.com,yes,yes,Yes,8,580,Yes,16,580,600,,,12/29/21
66,All Women's Clinic: Ft. Lauderdale,,,"2100 E Commercial Blvd., Fort Lauderdale, FL 33308-3822",2100 E Commercial Blvd.,"Ft,. Lauderdale",FL,33308,26.1891,-80.1172,(954)-772-0933,http://www.allwomensclinic.com/,no,no,,,543,,,550,650,,2019,7/26/2021 (web only)
67,All Women's Health,,,"3711 Pacific Ave #200, Tacoma, WA 98418",3711 Pacific Ave #200,Tacoma,WA,98418,47.2243,-122.434,(253) 471-3464,https://awhtacoma.com/,yes,yes,Yes,10,650,Yes,26,650,,,,10/01/2021 (phone)
68,All Women's Health Centers: All Women's Health Center Inc. (St. Petersburg),,,"4131 Central Avenue, St. Petersburg, FL 33713",4131 Central Avenue,St. Petersburg,FL,33713,27.771,-82.6895,(727) 327-3300,http://www.floridaabortion.com/locations/stpetersburg.shtml,yes,yes,Yes,10,543,Yes,12,550,650,,,12/23/21
69,All Women's Health Centers: All Women's Health Center of Gainesville Inc.,,,"1135 N. W. 23rd Avenue, Suite N, Gainesville, FL 32609","1135 N. W. 23rd Avenue, Suite N",Gainesville,FL,32609,29.6739,-82.3365,(352) 378-9191,http://www.floridaabortion.com/locations/gainesville.shtml,yes,yes,Yes,10,543,Yes,13,550,650,,,12/23/21
70,"All Women's Health Centers: All Women's Health Center of Jacksonville, Inc.",,,"1545 Huffingham Road, Jacksonville, FL 32216",1545 Huffingham Road,Jacksonville,FL,32216,30.2937,-81.6004,(904) 731-2755,http://www.floridaabortion.com/locations/jacksonville.shtml,yes,yes,Yes,10,543,Yes,13,550,650,,,12/23/21
71,All Women's Health Centers: All Women's Health Center of North Tampa,,,"14498 University Cove Place, Tampa, FL 33613",14498 University Cove Place,Tampa,FL,33613,28.0774,-82.4257,(813) 978-1919,http://www.floridaabortion.com/locations/tampaN.shtml,yes,yes,Yes,10,543,Yes,22,550,650,,,12/23/21
72,"All Women's Health Centers: All Women's Health Center of Orlando, Inc.",,,"1800 Pembrook Dr. Suite 300, Orlando, FL 32810",1800 Pembrook Dr. Suite 300,Orlando,FL,32810,28.6328,-81.4018,(407) 335-4934,https://floridaabortion.com/profile/all-womens-health-center-of-orlando/,yes,yes,Yes,10,543,Yes,22.3,550,650,,,12/23/21
73,"All Women's Health Centers: All Women's Health Center of Orlando, Inc. (Altamonte Springs)",,,"431 Maitland Avenue, Altamonte Springs, FL 32701",431 Maitland Avenue,Altamonte Springs,FL,32701,28.6558,-81.3658,(407) 834-2262,http://www.floridaabortion.com/locations/altamontesprings.shtml,yes,yes,Yes,10,543,Yes,22,550,650,,,12/23/21
74,"All Women's Health Centers: All Women's Health Center of Sarasota, Inc.",,,"2700 South Tamiami Trail, Suite 5, Sarasota, FL 34239","2700 South Tamiami Trail, Suite 5",Sarasota,FL,34239,27.3096,-82.53,(941) 366-7066,http://www.floridaabortion.com/locations/sarasota.shtml,yes,yes,Yes,10,543,Yes,13,550,650,,,12/23/21
75,All Women's Health Centers: All Women's Health Center of Tampa,,,"3330 West Kennedy Blvd., Tampa, FL 33609",3330 West Kennedy Blvd.,Tampa,FL,33609,27.9447,-82.499,813-874-0505,http://www.floridaabortion.com/locations/tampa.shtml,yes,yes,Yes,10,543,Yes,13,550,650,,,12/23/21
76,"All Women's Health Centers: Ft. Myers Women's Health Center, Inc.",,,"3677 Central Avenue, Suite H, Ft. Myers, FL 33901","3677 Central Avenue, Suite H",Ft. Myers,FL,33901,26.609,-81.8638,(239) 936-4494,http://www.floridaabortion.com/locations/ftmyers.shtml,yes,yes,Yes,11,543,Yes,13,550,650,,,12/23/21
77,"All Women's Health Centers: Lakeland Women's Health Center, Inc.",,,"4444 S. Florida Avenue, Lakeland, FL 33813",4444 S. Florida Avenue,Lakeland,FL,33813,27.9839,-81.9567,(863) 644-7541,http://www.floridaabortion.com/locations/lakeland.shtml,yes,yes,Yes,10,543,Yes,17,550,650,,,12/23/21
78,"All Women's Health Centers: Women's OB/GYN Center of Countryside, Inc. (Clearwater)",,,"28960 U.S. Highway 19 North, Suite 110, Clearwater, FL 33761","28960 U.S. Highway 19 North, Suite 110",Clearwater,FL,33761,28.0356,-82.7384,(727) 785-2525,http://floridaabortion.com/locations/clearwater.shtml,yes,yes,Yes,10,543,Yes,13,550,650,,,12/23/21
79,All Women's Health Chicago,,,"2000 W. Armitage Ave., Chicago, Illinois 60647-4514",2000 W. Armitage Ave.,Chicago,IL,60647,41.9178,-87.6777,(773) 252-3600,https://www.facebook.com/AWHFamilyMedicineFoundation/,no,no,,,470,,,480,1385,,2014,7/20/2021 (web only)
80,All Women's Medical Center,,,"8600 Wurzbach Road, Suite 1206, San Antonio, TX 78240","8600 Wurzbach Road, Suite 1206",San Antonio,TX,78240,29.5222,-98.5711,(210) 614-7711,,yes,no,,,650,,,715,850,,,12/29/21
81,All Women's Medical Center_il,,,"3140 W Irving Park, Chicago, IL 60618",3140 W Irving Park,Chicago,IL,60618,41.954,-87.7072,(773) 816-5338,https://www.allwomensmedicalcenter.com/,yes,yes,Yes,10,470,No,,480,1385,,,12/22/21
82,"All Women's Medical Office Based Surgery, PLLC: A Woman's Medical",,,"184 70th Street, New York, NY 10021",184 70th Street,New York,NY,10021,40.7686,-73.962,(877) 462-8837,http://www.nyabortion.com,no,no,,,580,,,580,600,,,12/27/21
83,"All Women's Medical Office Based Surgery, PLLC: All Women's Health & Medical Services",,,"222 Mamaroneck Avenue, White Plains, NY 10605",222 Mamaroneck Avenue,White Plains,NY,10605,41.0272,-73.7644,(888) 644-0999,http://www.nyabortion.com,yes,yes,Yes,10,580,Yes,24,580,600,,,12/27/21
84,"All Women's Medical Office Based Surgery, PLLC: All Women's Medical Pavillion",,,"120-34 Queens Boulevard, Suite 420, Kew Gardens, NY 11415","120-34 Queens Boulevard, Suite 420",Kew Gardens,NY,11415,40.7135,-73.8293,(866) 340-1943,http://www.nyabortion.com,yes,yes,Yes,10,580,Yes,24,580,600,,,12/27/21
85,"All Women's Medical Office Based Surgery, PLLC: Westside Women's Medical Pavillion",,,"1841 Broadway, Suite #1011, New York, NY 10023","1841 Broadway, Suite #1011",New York,NY,10023,40.7692,-73.9823,(877) 894-1841,http://www.nyabortion.com,yes,yes,Yes,10,580,Yes,24,580,600,,,12/27/21
86,All Women's OB-GYN Group,,,"817 S. Unversity Dr Suite 100a, Plantation, FL 33324",817 S. Unversity Dr Suite 100a,Plantation,FL,33324,26.109,-80.2504,(954) 474-2500,http://www.yelp.com/biz/all-womens-ob-gyn-group-plantation,no,no,,,543,,,550,650,,2015,7/26/2021 (web only)
88,Allegheny Reproductive Health Center,,,"5910 Kirkwood St, Pittsburgh, PA 15206",5910 Kirkwood St,Pittsburgh,PA,15206,40.4624,-79.9258,(412) 661-8811,http://www.alleghenyreproductive.com/,yes,yes,Yes,11,474,Yes,23.6,500,550,,,12/29/21
89,Allentown Women's Center,,,"31 South Commerce Way, Suite 100, Bethlehem, PA 18017","31 South Commerce Way, Suite 100",Bethlehem,PA,18017,40.6732,-75.3755,(484) 821-0821,https://allentownwomenscenter.com/,yes,yes,Yes,10,474,Yes,23,500,550,,,12/29/21
90,Alliance Women's Medical Group,,,"1930 Wilshire Boulevard, Suite 500, Los Angeles, CA 90057","1930 Wilshire Boulevard, Suite 500",Los Angeles,CA,90057,34.0571,-118.274,(213) 353-4971,https://alliancewomensmedicalgroup.com/,yes,yes,Yes,9,700,Yes,24,750,926,,,9/13/2021 (phone)
91,Alpha Group Gyn PC,,,"1640 Powers Ferry Rd Bdg. 23, Marietta, GA 30067",1640 Powers Ferry Rd Bdg. 23,Marietta,GA,30067,33.9139,-84.4655,(404) 681-4300,http://www.alphagynecologyandconsulting.com/index.html,no,no,,,476,,,485,,,2016,7/20/2021 (web only)
92,Alto Women's Center,,,"6671 Southwest Fry, 450, Houston, TX 77074","6671 Southwest Fry, 450",Houston,TX,77074,29.7155,-95.5,(713) 772-6422,http://www.aaltowomenscenter.com/,no,no,,,650,,,715,850,,2014,12/29/21
93,American Family Planning of Pensacola,,,"6115 Village Oaks Drive, Pensacola, FL 32504",6115 Village Oaks Drive,Pensacola,FL,32504,30.4892,-87.2279,(850) 478-9660,http://www.abortionpensacola.com/,no,no,,,543,,,550,650,,2018,7/26/2021 (web only)
95,American Woman's Services: Fairfax,,,"8316 Arlington Blvd, Fairfax, VA 22031",8316 Arlington Blvd,Fairfax,VA,22031,38.8658,-77.2325,(800) 854-7280,https://www.americanwomensservices.com/office_locations/va/fairfax.php,yes,no,Yes,9,433,Yes,14,450,850,,2016,6-Aug-20
96,American Woman's Services: Virginia Beach - Virginia Women's Wellness,,,"224 Groveland Road, 2nd floor, Virginia Beach, VA 23452","224 Groveland Road, 2nd floor",Virginia Beach,VA,23452,36.8411,-76.0858,(757) 306-4706,https://www.americanwomensservices.com/office_locations/va/virginia_beach.php,yes,yes,Yes,9,433,Yes,15,450,850,,,12/21/21 (phone)
97,American Women's Medical Center: Amer Family Planning,,,"2744 N. Western Ave, Chicago, IL 60647",2744 N. Western Ave,Chicago,IL,60647,41.9318,-87.688,(773) 772-7726,http://www.americanwomensmedicalcenter.com/,yes,yes,Yes,11,470,Yes,20,480,1385,,,12/22/21
98,American Women's Medical Center: Des Plaines,,,"110 S. River Road (US45), Suite 7, Des Plaines, IL 60016","110 S. River Road (US45), Suite 7",Des Plaines,IL,60016,42.0509,-87.8869,(847) 294-9614,http://www.americanwomensmedicalcenter.com/,yes,yes,Yes,10,470,Yes,20,480,1385,,,12/22/21
99,American Women's Services: Allentown Medical Services,,,"2200 Hamilton Street, Suite 200, Allenstown, PA 18104","2200 Hamilton Street, Suite 200",Allenstown,PA,18104,40.5936,-75.5028,(800) 366-9604,http://www.americanwomensservices.com/,no,no,,,474,,,500,550,,2012,12/29/21
100,American Women's Services: Baltimore,,,"3506 N. Calvert Street, Suite 110, Baltimore, MD 21218","3506 N. Calvert Street, Suite 110",Baltimore,MD,21218,39.3314,-76.6148,(800) 203-7604,https://www.americanwomensservices.com/,no,no,Yes,9,390,Yes,24,431,922,,,12/29/21
101,American Women's Services: Cheverly,,,"6005 Landover Rd, Suite #6, Cheverly, MD 20785","6005 Landover Rd, Suite #6",Cheverly,MD,20785,38.9345,-76.9157,(301) 345-9006 or (800) 364-2234,https://www.americanwomensservices.com/,no,no,Yes,9,390,Yes,24,431,922,,,12/29/21
102,American Women's Services: Elizabeth,,,"700 N. Broad Street, Suite 202, Elizabeth, NJ 07208","700 N. Broad Street, Suite 202",Elizabeth,NJ,7208,40.6797,-74.2137,(908) 352-2992,http://www.americanwomensservices.com/,yes,yes,Yes,9,490,Yes,12,400,700,,,9/16/21
103,American Women's Services: Englewood,,,"200 Grand Avenue, Suite 101, Englewood, NJ 07631","200 Grand Avenue, Suite 101",Englewood,NJ,7631,40.8867,-73.9774,(201) 567-7600,http://www.americanwomensservices.com/,yes,yes,Yes,9,490,Yes,12,400,700,,,9/16/21
